unobs_state,flow_true,flow_estimated
35,561,152.9992129083038
37,289,229.49881936245572
4,291,535.4972451790634
11,211,420.7478354978355
30,288,420.7478354978355
13,390,497.24744195198735
29,310,726.7462613144431
34,137,535.4972451790634
12,397,650.2466548602912
32,516,382.49803227075955
33,544,573.7470484061394
25,291,535.4972451790634
24,352,458.99763872491144
26,147,382.49803227075955
27,369,305.9984258166076
6,208,76.4996064541519
21,553,803.245867768595
7,432,573.7470484061394
14,155,267.7486225895317
9,206,420.7478354978355
28,507,420.7478354978355
36,291,535.4972451790634
22,433,114.74940968122786
8,416,382.49803227075955
2,269,650.2466548602912
17,299,344.24822904368364
23,225,420.7478354978355
